	smiles	torsion_atom_ids	angles	energy	method	basis	program	molid
0	[H]c1c(c([n:4][c:3](c1[H])[c:2]2[c:1](c(c(nc2[H])[H])[H])[H])[H])[H]	(3, 8, 9, 11)	[-120, 60, -135, -105, 45, 75, -150, -90, 30, 90, -165, -75, 15, 105, -60, 0, 120, 180, -45, -15, 135, 165, -30, 150]	[-495.458343183822, -495.4588883513142, -495.4603432960275, -495.45629016391206, -495.4611240913525, -495.4566091994841, -495.46139344710025, -495.4555248759604, -495.4624247939775, -495.455524426715, -495.4613483527107, -495.4566058219707, -495.4625853346007, -495.45629021802336, -495.4588873999391, -495.4623643809971, -495.458337620341, -495.46105920094215, -495.4611229355636, -495.4625846218596, -495.46034454391497, -495.4613469204021, -495.4624246400845, -495.46139287472744]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_0
1	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2[C:4](=C(C(=C2[H])[H])[H])[H])[H])[H]	(3, 5, 10, 8)	[180, -165, 165, -150, 150, -135, 135, -120, 120, -105, 105, -90, 90, -75, 75, -60, 60, -45, 45, -30, 30, -15, 15, 0]	[-441.29011200525065, -441.29111330736083, -441.2911116724428, -441.29210770431763, -441.2921081157184, -441.2920416662757, -441.29204125758815, -441.2910606468475, -441.2910592053667, -441.2897766874222, -441.28977590194023, -441.28912917251984, -441.28912858563353, -441.2897687682462, -441.2897689483007, -441.29105497036704, -441.2910558840128, -441.2920416367515, -441.2920420027216, -441.2921095043648, -441.29211019895325, -441.2911418610428, -441.2911420583898, -441.29011054140096]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_1
2	[H]c1c([c:1]([c:2](c(c1[H])[H])[N:3]2C(=C(C(=[N:4]2)[H])[H])[H])[H])[H]	(3, 5, 10, 9)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-457.3283403015387, -457.3284640213925, -457.32846403811794, -457.32828902367527, -457.3282906808217, -457.32728185555493, -457.3272812852304, -457.3256001917369, -457.32559930234936, -457.32393544208685, -457.3239354671839, -457.3232011298837, -457.3232006298871, -457.3239229617439, -457.3239201016364, -457.3255697794756, -457.3255699388465, -457.3272593859856, -457.32725936253195, -457.3282855106104, -457.3282852762157, -457.32846320236064, -457.3284633206504, -457.32832896151905]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_2
3	[H]c1c([c:1]([c:2](c(c1[H])[H])[c:3]2[n:4]c(nc(n2)[H])[H])[H])[H]	(3, 7, 8, 10)	[30, 15, 45, 0, 60, -15, 75, -30, 90, -45, 105, -60, 120, -75, 135, -90, 150, -105, 165, -120, 180, -165, -135, -150]	[-511.51302277516317, -511.5146777992648, -511.51016269963435, -511.51520226791257, -511.50655356018535, -511.5146793357415, -511.5033037432476, -511.51302338160815, -511.5019251440061, -511.51016286273, -511.5033275606081, -511.50655350615745, -511.5066280172766, -511.50330363627137, -511.5102234825861, -511.5019254189885, -511.51304090445944, -511.50332634110265, -511.5146807821638, -511.50662784736073, -511.51520146951, -511.51468087213283, -511.51022352285975, -511.51304002214704]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_3
4	[H]c1c([n:1][c:2](nc1[H])[C:3]2=C(OC(=[C:4]2[H])[H])[H])[H]	(8, 3, 7, 4)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-493.2448870716406, -493.244172413001, -493.2441724147358, -493.2421230962727, -493.2421230941385, -493.2390188813232, -493.23901888536165, -493.2354805200625, -493.235480512838, -493.2324912300734, -493.23249122881674, -493.23132605759645, -493.23132604504684, -493.23259376739026, -493.23259362504484, -493.2355867794091, -493.2355867798154, -493.239063234375, -493.2390632414503, -493.2421266524249, -493.2421266629536, -493.24417111322276, -493.24417111384116, -493.24488413095673]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_4
5	[H]c1c([n:1][c:2](nc1[H])[c:3]2[n:4]c(c(c(n2)[H])[H])[H])[H]	(8, 6, 7, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-527.5366898312874, -527.5369580582537, -527.5369581145868, -527.5373870404337, -527.5373870418406, -527.5374171292059, -527.5374171254756, -527.5368802988985, -527.5368802924006, -527.5361143438269, -527.5361147754305, -527.5357738952105, -527.5357678104815, -527.5361167459893, -527.5361166820563, -527.536883885753, -527.5368838561994, -527.5374176266157, -527.5374173535735, -527.5373875076365, -527.5373873852806, -527.5369592932743, -527.5369592624455, -527.5366865236191]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_5
6	[H]c1c([n:1][c:2](nc1[H])[C:3]2=C(C(=C([S:4]2)[H])[H])[H])[H]	(8, 3, 7, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-816.1893238646874, -816.1885157631835, -816.1885163909269, -816.1862014416937, -816.1862011609726, -816.1827375816401, -816.1827375423594, -816.1788055569405, -816.1788050711967, -816.1754883652117, -816.1754883799617, -816.1741583258378, -816.1741582921172, -816.1755047696179, -816.1755047325353, -816.1788390311273, -816.1788389693174, -816.1827697335552, -816.1827696625519, -816.186220543121, -816.1862210406832, -816.1885208489209, -816.1885209569165, -816.1893234726228]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_6
7	[H]c1c([n:1][c:2](nc1[H])[C:3]2=C(C(=C([N:4]2[H])[H])[H])[H])[H]	(8, 3, 7, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-473.3931263632249, -473.3919580926072, -473.39195954684726, -473.38864881788015, -473.38864885436794, -473.38375614437217, -473.38375619733915, -473.37828202412686, -473.3782823734944, -473.3736583819917, -473.3736583374301, -473.371724643988, -473.37172476211686, -473.37375135555834, -473.3737515788506, -473.3785090200076, -473.37850822927567, -473.3839860145822, -473.3839856093544, -473.38877882674007, -473.3887803903877, -473.3919959157224, -473.39199557778545, -473.3931263755672]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_7
8	[H]c1c([n:1][c:2](nc1[H])[C:3]2=C(C(=C([O:4]2)[H])[H])[H])[H]	(8, 3, 7, 10)	[0, -15, 15, -30, 30, -45, 45, -60, 60, -75, 75, -90, 90, -105, 105, -120, 120, -135, 135, -150, 150, -165, 165, 180]	[-493.2437310906388, -493.2430110185708, -493.24301107585865, -493.2409406634113, -493.2409409751946, -493.23778311589274, -493.23778336574844, -493.23417504915096, -493.23417506323716, -493.2311673285721, -493.23116731292663, -493.2299864468418, -493.229986442639, -493.23113961925725, -493.23113961235754, -493.2340250915192, -493.23402505154684, -493.23755831051113, -493.237558303212, -493.24077122816647, -493.24077118717344, -493.2429555827066, -493.2429553037498, -493.2437294717781]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_8
9	[H]C1=C(C(=O)[N:1]([C:2](=C1[H])[C:3]2=[N:4]C(=C(N2[H])[H])[H])[H])[H]	(10, 5, 6, 8)	[150, 135, 165, 120, 180, -165, 105, -150, 90, -135, 75, -120, 60, -105, 45, -90, 30, -75, 15, -60, 0, -45, -15, -30]	[-548.6438040485252, -548.6425609703854, -548.643894898932, -548.6405874875643, -548.6434162803336, -548.6438935299404, -548.6387754895397, -548.6437972330507, -548.6383291077778, -548.6425594666714, -548.6399741494139, -548.640587302815, -548.6428953372039, -548.6387757383353, -548.6459617617177, -548.6383283300544, -548.6484328657355, -548.6399734699968, -548.6499302189845, -548.6428948794172, -548.6503998615337, -548.6459619773743, -548.6499314625071, -548.6484329343211]	b3lyp-d3bj	dzvp	psi4	Rowely_mol_9
